Areas,Age,Cases,Year,Disease
Sakon Nakhon,2-2,1,2011,Mushroom poisoning
Zone:12,2-2,0,2011,Mushroom poisoning
Kalasin,2-2,0,2011,Mushroom poisoning
Khon Kaen,2-2,0,2011,Mushroom poisoning
Maha Sarakham,2-2,0,2011,Mushroom poisoning
Roi Et,2-2,0,2011,Mushroom poisoning
Zone:13,2-2,4,2011,Mushroom poisoning
Amnat Charoen,2-2,0,2011,Mushroom poisoning
Si Sa Ket,2-2,1,2011,Mushroom poisoning
Ubon Ratchathani,2-2,3,2011,Mushroom poisoning
Yasothon,2-2,0,2011,Mushroom poisoning
Zone:14,2-2,0,2011,Mushroom poisoning
Buri Ram,2-2,0,2011,Mushroom poisoning
Chaiyaphum,2-2,0,2011,Mushroom poisoning
Nakhon Ratchasima,2-2,0,2011,Mushroom poisoning
Surin,2-2,0,2011,Mushroom poisoning
North Region,2-2,4,2011,Mushroom poisoning
Zone:15,2-2,2,2011,Mushroom poisoning
Chiang Mai,2-2,1,2011,Mushroom poisoning
Lampang,2-2,1,2011,Mushroom poisoning
Lamphun,2-2,0,2011,Mushroom poisoning
Mae Hong Son,2-2,0,2011,Mushroom poisoning
Zone:16,2-2,2,2011,Mushroom poisoning
Chiang Rai,2-2,2,2011,Mushroom poisoning
Nan,2-2,0,2011,Mushroom poisoning
Phayao,2-2,0,2011,Mushroom poisoning
Phrae,2-2,0,2011,Mushroom poisoning
Zone:17,2-2,0,2011,Mushroom poisoning
Phetchabun,2-2,0,2011,Mushroom poisoning
Phitsanulok,2-2,0,2011,Mushroom poisoning
Sukhothai,2-2,0,2011,Mushroom poisoning
Tak,2-2,0,2011,Mushroom poisoning
Uttaradit,2-2,0,2011,Mushroom poisoning
Zone:18,2-2,0,2011,Mushroom poisoning
Kamphaeng Phet,2-2,0,2011,Mushroom poisoning
Nakhon Sawan,2-2,0,2011,Mushroom poisoning
Phichit,2-2,0,2011,Mushroom poisoning
Uthai Thani,2-2,0,2011,Mushroom poisoning
Total,3-3,15,2011,Mushroom poisoning
Central Region,3-3,4,2011,Mushroom poisoning
Zone:0,3-3,0,2011,Mushroom poisoning
Bangkok,3-3,0,2011,Mushroom poisoning
Zone:1,3-3,1,2011,Mushroom poisoning
Nonthaburi,3-3,0,2011,Mushroom poisoning
P.Nakhon S.Ayutthaya,3-3,0,2011,Mushroom poisoning
Pathum Thani,3-3,0,2011,Mushroom poisoning
Saraburi,3-3,1,2011,Mushroom poisoning
Zone:2,3-3,0,2011,Mushroom poisoning
Ang Thong,3-3,0,2011,Mushroom poisoning
Chai Nat,3-3,0,2011,Mushroom poisoning
Lop Buri,3-3,0,2011,Mushroom poisoning
Sing Buri,3-3,0,2011,Mushroom poisoning
Zone:3,3-3,0,2011,Mushroom poisoning
Chachoengsao,3-3,0,2011,Mushroom poisoning
Nakhon Nayok,3-3,0,2011,Mushroom poisoning
Prachin Buri,3-3,0,2011,Mushroom poisoning
Sa Kaeo,3-3,0,2011,Mushroom poisoning
Samut Prakan,3-3,0,2011,Mushroom poisoning
Zone:4,3-3,0,2011,Mushroom poisoning
Kanchanaburi,3-3,0,2011,Mushroom poisoning
Nakhon Pathom,3-3,0,2011,Mushroom poisoning
Ratchaburi,3-3,0,2011,Mushroom poisoning
Suphan Buri,3-3,0,2011,Mushroom poisoning
Zone:5,3-3,0,2011,Mushroom poisoning
Phetchaburi,3-3,0,2011,Mushroom poisoning
Prachuap Khiri Khan,3-3,0,2011,Mushroom poisoning
Samut Sakhon,3-3,0,2011,Mushroom poisoning
Samut Songkhram,3-3,0,2011,Mushroom poisoning
Zone:9,3-3,3,2011,Mushroom poisoning
Chanthaburi,3-3,0,2011,Mushroom poisoning
Chon Buri,3-3,2,2011,Mushroom poisoning
Rayong,3-3,0,2011,Mushroom poisoning
Trat,3-3,1,2011,Mushroom poisoning
South Region,3-3,1,2011,Mushroom poisoning
Zone:6,3-3,1,2011,Mushroom poisoning
Chumphon,3-3,0,2011,Mushroom poisoning
Nakhon Si Thammarat,3-3,0,2011,Mushroom poisoning
Phatthalung,3-3,0,2011,Mushroom poisoning
Surat Thani,3-3,1,2011,Mushroom poisoning
Zone:7,3-3,0,2011,Mushroom poisoning
