Areas,Age,Cases,Year,Disease
Songkhla,2-2,0,2007,HepatitisB
Total,3-3,0,2007,HepatitisB
North Region,3-3,0,2007,HepatitisB
Zone: 1,3-3,0,2007,HepatitisB
Chiang Mai,3-3,0,2007,HepatitisB
Chiang Rai,3-3,0,2007,HepatitisB
Lampang,3-3,0,2007,HepatitisB
Lamphun,3-3,0,2007,HepatitisB
Mae Hong Son,3-3,0,2007,HepatitisB
Nan,3-3,0,2007,HepatitisB
Phayao,3-3,0,2007,HepatitisB
Phrae,3-3,0,2007,HepatitisB
Zone: 2,3-3,0,2007,HepatitisB
Phetchabun,3-3,0,2007,HepatitisB
Phitsanulok,3-3,0,2007,HepatitisB
Sukhothai,3-3,0,2007,HepatitisB
Tak,3-3,0,2007,HepatitisB
Uttaradit,3-3,0,2007,HepatitisB
Zone: 3,3-3,0,2007,HepatitisB
Kamphaeng Phet,3-3,0,2007,HepatitisB
Nakhon Sawan,3-3,0,2007,HepatitisB
Phichit,3-3,0,2007,HepatitisB
Uthai Thani,3-3,0,2007,HepatitisB
Central Region,3-3,0,2007,HepatitisB
Bangkok,3-3,0,2007,HepatitisB
Zone: 4,3-3,0,2007,HepatitisB
Ang Thong,3-3,0,2007,HepatitisB
Nonthaburi,3-3,0,2007,HepatitisB
P.Nakhon S.Ayutthaya,3-3,0,2007,HepatitisB
Pathum Thani,3-3,0,2007,HepatitisB
Zone: 5,3-3,0,2007,HepatitisB
Chai Nat,3-3,0,2007,HepatitisB
Lop Buri,3-3,0,2007,HepatitisB
Saraburi,3-3,0,2007,HepatitisB
Sing Buri,3-3,0,2007,HepatitisB
Zone: 6,3-3,0,2007,HepatitisB
Kanchanaburi,3-3,0,2007,HepatitisB
Nakhon Pathom,3-3,0,2007,HepatitisB
Ratchaburi,3-3,0,2007,HepatitisB
Suphan Buri,3-3,0,2007,HepatitisB
Zone: 7,3-3,0,2007,HepatitisB
Phetchaburi,3-3,0,2007,HepatitisB
Prachuap Khiri Khan,3-3,0,2007,HepatitisB
Samut Sakhon,3-3,0,2007,HepatitisB
Samut Songkhram,3-3,0,2007,HepatitisB
Zone: 8,3-3,0,2007,HepatitisB
Chachoengsao,3-3,0,2007,HepatitisB
Nakhon Nayok,3-3,0,2007,HepatitisB
Prachin Buri,3-3,0,2007,HepatitisB
Sa Kaeo,3-3,0,2007,HepatitisB
Samut Prakan,3-3,0,2007,HepatitisB
Zone: 9,3-3,0,2007,HepatitisB
Chanthaburi,3-3,0,2007,HepatitisB
Chon Buri,3-3,0,2007,HepatitisB
Rayong,3-3,0,2007,HepatitisB
Trat,3-3,0,2007,HepatitisB
North-Eastern Region,3-3,0,2007,HepatitisB
Zone: 10,3-3,0,2007,HepatitisB
Loei,3-3,0,2007,HepatitisB
Nong Bua Lam Phu,3-3,0,2007,HepatitisB
Nong Khai,3-3,0,2007,HepatitisB
Udon Thani,3-3,0,2007,HepatitisB
Zone: 11,3-3,0,2007,HepatitisB
Kalasin,3-3,0,2007,HepatitisB
Mukdahan,3-3,0,2007,HepatitisB
Nakhon Phanom,3-3,0,2007,HepatitisB
Sakon Nakhon,3-3,0,2007,HepatitisB
Zone: 12,3-3,0,2007,HepatitisB
Khon Kaen,3-3,0,2007,HepatitisB
Maha Sarakham,3-3,0,2007,HepatitisB
Roi Et,3-3,0,2007,HepatitisB
Zone: 13,3-3,0,2007,HepatitisB
Buri Ram,3-3,0,2007,HepatitisB
Chaiyaphum,3-3,0,2007,HepatitisB
Nakhon Ratchasima,3-3,0,2007,HepatitisB
Surin,3-3,0,2007,HepatitisB
Zone: 14,3-3,0,2007,HepatitisB
Amnat Charoen,3-3,0,2007,HepatitisB
Si Sa Ket,3-3,0,2007,HepatitisB
Ubon Ratchathani,3-3,0,2007,HepatitisB
Yasothon,3-3,0,2007,HepatitisB
South Region,3-3,0,2007,HepatitisB
Zone: 15,3-3,0,2007,HepatitisB
Chumphon,3-3,0,2007,HepatitisB
Ranong,3-3,0,2007,HepatitisB
Surat Thani,3-3,0,2007,HepatitisB
Zone: 16,3-3,0,2007,HepatitisB
Nakhon Si Thammarat,3-3,0,2007,HepatitisB
Phatthalung,3-3,0,2007,HepatitisB
Trang,3-3,0,2007,HepatitisB
Zone: 17,3-3,0,2007,HepatitisB
Krabi,3-3,0,2007,HepatitisB
Phangnga,3-3,0,2007,HepatitisB
Phuket,3-3,0,2007,HepatitisB
Zone: 18,3-3,0,2007,HepatitisB
Narathiwat,3-3,0,2007,HepatitisB
Pattani,3-3,0,2007,HepatitisB
Yala,3-3,0,2007,HepatitisB
