Areas,Age,Cases,Year,Disease
ZONE:09,<1,0,2018,Cholera
Buri Ram,<1,0,2018,Cholera
Chaiyaphum,<1,0,2018,Cholera
Nakhon Ratchasima,<1,0,2018,Cholera
Surin,<1,0,2018,Cholera
ZONE:10,<1,0,2018,Cholera
Amnat Charoen,<1,0,2018,Cholera
Mukdahan,<1,0,2018,Cholera
Si Sa Ket,<1,0,2018,Cholera
Ubon Ratchathani,<1,0,2018,Cholera
Yasothon,<1,0,2018,Cholera
ZONE:11,<1,0,2018,Cholera
Chumphon,<1,0,2018,Cholera
Krabi,<1,0,2018,Cholera
Nakhon Si Thammarat,<1,0,2018,Cholera
Phangnga,<1,0,2018,Cholera
Phuket,<1,0,2018,Cholera
Ranong,<1,0,2018,Cholera
Surat Thani,<1,0,2018,Cholera
ZONE:12,<1,0,2018,Cholera
Narathiwat,<1,0,2018,Cholera
Pattani,<1,0,2018,Cholera
Phatthalung,<1,0,2018,Cholera
Satun,<1,0,2018,Cholera
Songkhla,<1,0,2018,Cholera
Trang,<1,0,2018,Cholera
Yala,<1,0,2018,Cholera
ZONE:13,<1,0,2018,Cholera
Bangkok,<1,0,2018,Cholera
Total,1-1,1,2018,Cholera
ZONE:01,1-1,0,2018,Cholera
Chiang Mai,1-1,0,2018,Cholera
Chiang Rai,1-1,0,2018,Cholera
Lampang,1-1,0,2018,Cholera
Lamphun,1-1,0,2018,Cholera
Mae Hong Son,1-1,0,2018,Cholera
Nan,1-1,0,2018,Cholera
